x_m,y_m,z_m,energy_MeV,nuclide,volume,process
x_m,y_m,z_m,energy_MeV,nuclide,volume,process
228715,-104526,106085,0.262677,U238,Crust,RadioactiveDecay
228715,-104526,106085,0.191699,U238,Crust,RadioactiveDecay
-445040,-323463,11210.4,0.139547,U238,Mantle,eBrem
-445040,-323463,11210.4,0.0805912,U238,Mantle,RadioactiveDecay
-445040,-323463,11210.4,0.909106,U238,Mantle,RadioactiveDecay
-445040,-323463,11210.4,0.331575,U238,Mantle,RadioactiveDecay
421763,-468472,73853.4,0.556851,Th232,Mantle,RadioactiveDecay
421763,-468472,73853.4,0.274918,Th232,Mantle,RadioactiveDecay
421763,-468472,73853.4,0.233805,Th232,Mantle,RadioactiveDecay
421763,-468472,73853.4,0.368847,Th232,Mantle,RadioactiveDecay
421763,-468472,73853.4,1.81751,Th232,Mantle,RadioactiveDecay
55850.4,-89540.1,-100531,0.012982,U238,Mantle,RadioactiveDecay
55850.4,-89540.1,-100531,0.135292,U238,Mantle,RadioactiveDecay
55850.4,-89540.1,-100531,0.182711,U238,Mantle,RadioactiveDecay
55850.4,-89540.1,-100531,0.394234,U238,Mantle,RadioactiveDecay
55850.4,-89540.1,-100531,0.413602,U238,Mantle,RadioactiveDecay
239280,-421904,56041.1,0.323285,Th232,Mantle,RadioactiveDecay
239280,-421904,56041.1,0.212034,Th232,Mantle,RadioactiveDecay
239280,-421904,56041.1,0.227471,Th232,Mantle,RadioactiveDecay
-216379,170333,-82291.3,0.141438,U238,Mantle,RadioactiveDecay
-216379,170333,-82291.3,0.200338,U238,Mantle,RadioactiveDecay
-77819.3,251435,84946,0.342109,Th232,Crust,RadioactiveDecay
-77819.3,251435,84946,0.206808,Th232,Crust,RadioactiveDecay
25513.5,238902,95101.4,0.20088,U238,Crust,RadioactiveDecay
25513.5,238902,95101.4,0.540516,U238,Crust,RadioactiveDecay
25513.5,238902,95101.4,0.843015,U238,Crust,RadioactiveDecay
-308096,-461044,102383,0.40392,U238,Crust,RadioactiveDecay
-308096,-461044,102383,0.173617,U238,Crust,RadioactiveDecay
-308096,-461044,102383,0.665484,U238,Crust,RadioactiveDecay
-308096,-461044,102383,0.231477,U238,Crust,RadioactiveDecay
-192915,-258199,90153.3,1.00194,K40,Crust,RadioactiveDecay
213378,468577,36218,0.223632,Th232,Mantle,RadioactiveDecay
213378,468577,36218,0.323108,Th232,Mantle,RadioactiveDecay
116888,345947,28290,0.138066,Th232,Mantle,RadioactiveDecay
116888,345947,28290,0.849976,Th232,Mantle,RadioactiveDecay
116888,345947,28290,0.237704,Th232,Mantle,RadioactiveDecay
-281478,-63181,-30436.3,0.288718,Th232,Mantle,RadioactiveDecay
-281478,-63181,-30436.3,0.226496,Th232,Mantle,RadioactiveDecay
-281478,-63181,-30436.3,0.402229,Th232,Mantle,RadioactiveDecay
-281478,-63181,-30436.3,1.00385,Th232,Mantle,RadioactiveDecay
277945,-162584,107278,0.155489,U238,Crust,RadioactiveDecay
277945,-162584,107278,0.871884,U238,Crust,RadioactiveDecay
17435,-306232,82041.5,0.154593,Th232,Crust,RadioactiveDecay
17435,-306232,82041.5,0.153937,Th232,Crust,RadioactiveDecay
-122445,-310858,-25855.6,0.0819049,U238,Mantle,RadioactiveDecay
-122445,-310858,-25855.6,0.225299,U238,Mantle,RadioactiveDecay
-122445,-310858,-25855.6,0.558423,U238,Mantle,RadioactiveDecay
637.486,83074.8,108628,0.460785,U238,Crust,RadioactiveDecay
208302,-262280,-47401.9,0.698293,Th232,Mantle,RadioactiveDecay
208302,-262280,-47401.9,0.084372,Th232,Mantle,RadioactiveDecay
208302,-262280,-47401.9,0.289768,Th232,Mantle,RadioactiveDecay
208302,-262280,-47401.9,0.990629,Th232,Mantle,RadioactiveDecay
-323508,307116,109902,0.23014,K40,Crust,RadioactiveDecay
-117581,-230811,76802.6,0.158728,Th232,Crust,RadioactiveDecay
-117581,-230811,76802.6,0.282722,Th232,Crust,RadioactiveDecay
-117581,-230811,76802.6,0.376693,Th232,Crust,RadioactiveDecay
-117581,-230811,76802.6,0.387154,Th232,Crust,RadioactiveDecay
-117581,-230811,76802.6,1.5442,Th232,Crust,RadioactiveDecay
-348163,341616,19132.5,0.294433,U238,Mantle,RadioactiveDecay
-348163,341616,19132.5,0.293214,U238,Mantle,RadioactiveDecay
-32083.8,-235149,-31657.8,0.0558416,U238,Mantle,RadioactiveDecay
-32083.8,-235149,-31657.8,0.0681179,U238,Mantle,RadioactiveDecay
-32083.8,-235149,-31657.8,1.01215,U238,Mantle,RadioactiveDecay
-32083.8,-235149,-31657.8,0.289937,U238,Mantle,RadioactiveDecay
-32083.8,-235149,-31657.8,0.35682,U238,Mantle,RadioactiveDecay
446676,257288,46769.8,0.0793654,Th232,Mantle,RadioactiveDecay
446676,257288,46769.8,0.372906,Th232,Mantle,RadioactiveDecay
446676,257288,46769.8,0.408595,Th232,Mantle,RadioactiveDecay
446676,257288,46769.8,0.0760386,Th232,Mantle,RadioactiveDecay
446676,257288,46769.8,0.357841,Th232,Mantle,RadioactiveDecay
446676,257288,46769.8,0.255486,Th232,Mantle,RadioactiveDecay
446676,257288,46769.8,0.16099,Th232,Mantle,annihil
446676,257288,46769.8,0.460718,Th232,Mantle,annihil
446372,190041,109211,0.112812,U238,Crust,eBrem
446372,190041,109211,0.158492,U238,Crust,RadioactiveDecay
446372,190041,109211,0.367077,U238,Crust,RadioactiveDecay
-127414,-85261.7,-48349.4,0.136697,U238,Mantle,RadioactiveDecay
-127414,-85261.7,-48349.4,0.830746,U238,Mantle,RadioactiveDecay
-127414,-85261.7,-48349.4,0.49522,U238,Mantle,RadioactiveDecay
-129504,491926,-82127.2,0.932428,Th232,Mantle,RadioactiveDecay
24692.6,-344089,79432.8,0.805836,Th232,Crust,RadioactiveDecay
24692.6,-344089,79432.8,0.404874,Th232,Crust,RadioactiveDecay
24692.6,-344089,79432.8,2.05884,Th232,Crust,RadioactiveDecay
-467881,148392,100395,0.338607,U238,Crust,RadioactiveDecay
-467881,148392,100395,0.225715,U238,Crust,RadioactiveDecay
343523,-443950,96409.3,0.0132079,U238,Crust,RadioactiveDecay
343523,-443950,96409.3,0.648193,U238,Crust,RadioactiveDecay
343523,-443950,96409.3,0.312086,U238,Crust,RadioactiveDecay
343523,-443950,96409.3,0.988026,U238,Crust,RadioactiveDecay
343523,-443950,96409.3,0.206132,U238,Crust,RadioactiveDecay
-473586,-238667,-32549,0.532701,U238,Mantle,RadioactiveDecay
-473586,-238667,-32549,0.239152,U238,Mantle,RadioactiveDecay
370079,172496,-71836.4,0.185281,U238,Mantle,RadioactiveDecay
370079,172496,-71836.4,0.347786,U238,Mantle,RadioactiveDecay
370079,172496,-71836.4,0.211502,U238,Mantle,RadioactiveDecay
370079,172496,-71836.4,0.384078,U238,Mantle,RadioactiveDecay
73581.3,-107908,89433.8,1.19662,U238,Crust,RadioactiveDecay
73581.3,-107908,89433.8,0.316935,U238,Crust,RadioactiveDecay
88322.6,86169.8,78957.3,0.229881,Th232,Crust,RadioactiveDecay
88322.6,86169.8,78957.3,0.204718,Th232,Crust,RadioactiveDecay
167379,408949,101025,0.102983,Th232,Crust,RadioactiveDecay
167379,408949,101025,0.273434,Th232,Crust,RadioactiveDecay
167379,408949,101025,0.125666,Th232,Crust,RadioactiveDecay
167379,408949,101025,0.206124,Th232,Crust,eBrem
306292,379108,-33639.4,0.09238,U238,Mantle,RadioactiveDecay
306292,379108,-33639.4,0.199077,U238,Mantle,RadioactiveDecay
306292,379108,-33639.4,1.45524,U238,Mantle,RadioactiveDecay
-303351,338795,102133,0.152512,U238,Crust,RadioactiveDecay
-303351,338795,102133,0.596421,U238,Crust,RadioactiveDecay
-303351,338795,102133,0.34828,U238,Crust,RadioactiveDecay
385353,-363652,108809,0.202045,Th232,Crust,RadioactiveDecay
385353,-363652,108809,0.302218,Th232,Crust,RadioactiveDecay
385353,-363652,108809,0.25316,Th232,Crust,RadioactiveDecay
